id,title,description,link,product_category,brand,material,weight,age_group,image_link,additional_image_link,price,sale_price,pricing_trend,availability,inventory_quantity,variant_options
3b62f40f6c15e05198fec37e844a74e8,Gusset Monogram Sling Bag,"51% Recycled Polyester, 49% PU, Spot clean, Detachable and adjustable shoulder straps, Metallic logo accent at front, One compartment with twist lock, One zipper compartment, Two slip pockets inside, Debossed and embossed pattern, Dimensions: 29 x 3 x 14 (approx. in cms.), Country Of Origin: China",https://www.nnnow.com/calvin-klein-gusset-monogram-sling-bag-JNXXPPA8QYJ,CALVIN KLEIN > Gusset Monogram Sling Bag,CALVIN KLEIN,"51% Recycled Polyester, 49% PU",,Kids,https://cdn10.nnnow.com/web-images/large/styles/JNXXPPA8QYJ/1702631177451/1.jpg,"['https://cdn10.nnnow.com/web-images/thumbnail/styles/JNXXPPA8QYJ/1702631177451/1.jpg', 'https://cdn12.nnnow.com/web-images/thumbnail/styles/JNXXPPA8QYJ/1702631177449/2.jpg', 'https://cdn09.nnnow.com/web-images/thumbnail/styles/JNXXPPA8QYJ/1702631177450/3.jpg', 'https://cdn00.nnnow.com/web-images/thumbnail/styles/JNXXPPA8QYJ/1702631177443/4.jpg', 'https://cdn03.nnnow.com/web-images/thumbnail/styles/JNXXPPA8QYJ/1702631177445/5.jpg', 'https://cdn06.nnnow.com/web-images/thumbnail/styles/JNXXPPA8QYJ/1702631177446/7.jpg']",₹ 7999.00,₹ 4639.00,,Available sizes: One Size,,[]
6571a48a52b2533335969b8e143c49d0,Textured Minimal Sling Bag,"100% Polyurethane, Spot clean, Adjustable shoulder strap, Metallic monogram at front, One main compartment with flap over and magnetic snap button closure, One inner zipper pocket, Six card holders, One inner slip pocket, One outer slip pocket, Textured pattern, Dimensions: 10 x 5 x 18 (approx. in cms), Country Of Origin - Cambodia",https://www.nnnow.com/calvin-klein-textured-minimal-sling-bag-LIJYZLLFOQX,CALVIN KLEIN > Textured Minimal Sling Bag,CALVIN KLEIN,100% Polyurethane,,Kids,https://cdn11.nnnow.com/web-images/large/styles/LIJYZLLFOQX/1703056144592/1.jpg,"['https://cdn11.nnnow.com/web-images/thumbnail/styles/LIJYZLLFOQX/1703056144592/1.jpg', 'https://cdn09.nnnow.com/web-images/thumbnail/styles/LIJYZLLFOQX/1703056144591/2.jpg', 'https://cdn08.nnnow.com/web-images/thumbnail/styles/LIJYZLLFOQX/1703056144591/3.jpg', 'https://cdn11.nnnow.com/web-images/thumbnail/styles/LIJYZLLFOQX/1703056144588/4.jpg', 'https://cdn11.nnnow.com/web-images/thumbnail/styles/LIJYZLLFOQX/1703056144589/5.jpg', 'https://cdn06.nnnow.com/web-images/thumbnail/styles/LIJYZLLFOQX/1703056144590/6.jpg']",₹ 6999.00,₹ 4899.00,,Available sizes: One Size,,[]
a72126ec001eb554e6ea863601e868c6,Justine Small Sling Bag,"100% PU, Spot clean, Adjustable and detachable shoulder strap, Top handle, Metallic logo accent at front, One main compartment with zipper closure, Textured pattern, Dimensions: 4.9 x 2.8 x 8.3 (approx. in cms), Country Of Origin - Cambodia",https://www.nnnow.com/tommy-hilfiger-justine-small-sling-bag-5YWJY1683NJ,TOMMY HILFIGER > Justine Small Sling Bag,TOMMY HILFIGER,100% PU,,Kids,https://cdn02.nnnow.com/web-images/large/styles/5YWJY1683NJ/1731568459070/1.jpg,"['https://cdn02.nnnow.com/web-images/thumbnail/styles/5YWJY1683NJ/1731568459070/1.jpg', 'https://cdn17.nnnow.com/web-images/thumbnail/styles/5YWJY1683NJ/1731568459029/2.jpg', 'https://cdn08.nnnow.com/web-images/thumbnail/styles/5YWJY1683NJ/1731568459049/3.jpg', 'https://cdn09.nnnow.com/web-images/thumbnail/styles/5YWJY1683NJ/1731568458934/4.jpg', 'https://cdn09.nnnow.com/web-images/thumbnail/styles/5YWJY1683NJ/1731568458957/5.jpg', 'https://cdn16.nnnow.com/web-images/thumbnail/styles/5YWJY1683NJ/1731568459006/6.jpg', 'https://cdn11.nnnow.com/web-images/thumbnail/styles/5YWJY1683NJ/1731568458982/7.jpg']",₹ 5499.00,₹ 5499.00,,Available sizes: One Size,,[]
cad785e270d1184e5d79b41893a84b13,Women Bayla Hand Bag,"PU, Wipe with a clean, dry cloth to remove dust, Top handles, Adjustable and detachable shoulder strap Metallic monogram accent at front, One main compartment with zipper closure, Two inner slip pocket, Solid pattern, One inner zip pocket, Dimensions: 28 x 11.5 x 39 (approx. in cms), Country Of Origin - China",https://www.nnnow.com/us-polo-assn-women-bayla-hand-bag-7KLSY5W1W1W,U.S. POLO ASSN. WOMEN > Women Bayla Hand Bag,U.S. POLO ASSN. WOMEN,PU,,Adult,https://cdn10.nnnow.com/web-images/large/styles/7KLSY5W1W1W/1758259881464/1.jpg,"['https://cdn10.nnnow.com/web-images/thumbnail/styles/7KLSY5W1W1W/1758259881464/1.jpg', 'https://cdn11.nnnow.com/web-images/thumbnail/styles/7KLSY5W1W1W/1758259881462/2.jpg', 'https://cdn08.nnnow.com/web-images/thumbnail/styles/7KLSY5W1W1W/1758259881464/3.jpg', 'https://cdn01.nnnow.com/web-images/thumbnail/styles/7KLSY5W1W1W/1758259881457/4.jpg', 'https://cdn12.nnnow.com/web-images/thumbnail/styles/7KLSY5W1W1W/1758259881459/5.jpg', 'https://cdn08.nnnow.com/web-images/thumbnail/styles/7KLSY5W1W1W/1758259881461/6.jpg', 'https://cdn08.nnnow.com/web-images/thumbnail/styles/7KLSY5W1W1W/1758259881460/7.jpg']",,₹ 5999.00,,Available sizes: Onesize,,[]
c764bef1cbcee733e6153489d45ba53b,Gabby Solid Tote Bag,"PU, Spot clean, Top handles, Metallic monogram accent at front, One main compartment with zipper closure, Solid pattern, Country Of Origin - China",https://www.nnnow.com/us-polo-assn-gabby-solid-tote-bag-3U937JYEKNT,U.S. POLO ASSN. WOMEN > Gabby Solid Tote Bag,U.S. POLO ASSN. WOMEN,PU,,Kids,https://cdn19.nnnow.com/web-images/large/styles/3U937JYEKNT/1747641138629/1.jpg,"['https://cdn19.nnnow.com/web-images/thumbnail/styles/3U937JYEKNT/1747641138629/1.jpg', 'https://cdn03.nnnow.com/web-images/thumbnail/styles/3U937JYEKNT/1747641138596/2.jpg', 'https://cdn14.nnnow.com/web-images/thumbnail/styles/3U937JYEKNT/1747641138619/3.jpg', 'https://cdn12.nnnow.com/web-images/thumbnail/styles/3U937JYEKNT/1747641138490/4.jpg', 'https://cdn14.nnnow.com/web-images/thumbnail/styles/3U937JYEKNT/1747641138521/5.jpg', 'https://cdn05.nnnow.com/web-images/thumbnail/styles/3U937JYEKNT/1747641138563/6.jpg', 'https://cdn10.nnnow.com/web-images/thumbnail/styles/3U937JYEKNT/1747641138530/7.jpg', 'https://cdn18.nnnow.com/web-images/thumbnail/styles/3U937JYEKNT/1747641138467/8.jpg']",₹ 5299.00,₹ 4504.00,,Available sizes: One Size,,[]
da82896b3c1af0c2c339913eb6f28757,Solid Brown Polyester Hand Bags,"100% Recycled Polyester, Wipe, with, cloth, Adjustable shoulder strap with woven branding, Metallic logo accent at front, One main compartment with zip closure, Solid pattern, Country Of Origin - Cambodia",https://www.nnnow.com/tommy-hilfiger-solid-brown-polyester-hand-bags-SUL4HYA2K61,TOMMY HILFIGER > Solid Brown Polyester Hand Bags,TOMMY HILFIGER,100% Recycled Polyester,,Kids,https://cdn00.nnnow.com/web-images/large/styles/SUL4HYA2K61/1742542069149/1.jpg,"['https://cdn00.nnnow.com/web-images/thumbnail/styles/SUL4HYA2K61/1742542069149/1.jpg', 'https://cdn03.nnnow.com/web-images/thumbnail/styles/SUL4HYA2K61/1742542069048/2.jpg', 'https://cdn08.nnnow.com/web-images/thumbnail/styles/SUL4HYA2K61/1742542069099/3.jpg', 'https://cdn17.nnnow.com/web-images/thumbnail/styles/SUL4HYA2K61/1742542068944/4.jpg', 'https://cdn05.nnnow.com/web-images/thumbnail/styles/SUL4HYA2K61/1742542068945/5.jpg', 'https://cdn07.nnnow.com/web-images/thumbnail/styles/SUL4HYA2K61/1742542068946/6.jpg']",₹ 6999.00,₹ 4129.00,,Available sizes: One Size,,[]
060bcddb3a391e1debba98652bbc05d9,Knotted Handle Solid Hand Bag,"51% Post-Consumer Recycled Polyester, 49% Polyurethane, Spot clean, Top handle with knot detail, Debossed logo at front, One main compartment with zipper closure, One inner slip pocket, Solid pattern, Dimensions: 20 x 8 x 13 (approx. in cms.), Country Of Origin - China",https://www.nnnow.com/calvin-klein-knotted-mini-block-bag-1H2U22BZELR,CALVIN KLEIN > Knotted Handle Solid Hand Bag,CALVIN KLEIN,"51% Post-Consumer Recycled Polyester, 49% Polyurethane",,Kids,https://cdn01.nnnow.com/web-images/large/styles/1H2U22BZELR/1717667108673/1.jpg,"['https://cdn01.nnnow.com/web-images/thumbnail/styles/1H2U22BZELR/1717667108673/1.jpg', 'https://cdn19.nnnow.com/web-images/thumbnail/styles/1H2U22BZELR/1717667108672/2.jpg', 'https://cdn18.nnnow.com/web-images/thumbnail/styles/1H2U22BZELR/1717667108672/3.jpg', 'https://cdn02.nnnow.com/web-images/thumbnail/styles/1H2U22BZELR/1717667108668/4.jpg', 'https://cdn00.nnnow.com/web-images/thumbnail/styles/1H2U22BZELR/1717667108669/5.jpg', 'https://cdn16.nnnow.com/web-images/thumbnail/styles/1H2U22BZELR/1717667108671/6.jpg', 'https://cdn00.nnnow.com/web-images/thumbnail/styles/1H2U22BZELR/1717667108670/7.jpg']",₹ 6999.00,₹ 4269.00,,Available sizes: One Size,,[]
bae720d818901c618db2420f09142645,Knotted Handle Solid Hand Bag,"51% Post-Consumer Recycled Polyester, 49% Polyurethane, Spot clean, Top handle with knot detail, Debossed logo at front, One main compartment with zipper closure, One inner slip pocket, Solid pattern, Dimensions: 20 x 8 x 13 (approx. in cms.), Country Of Origin - China",https://www.nnnow.com/calvin-klein-knotted-mini-block-bag-4WYS7BTEM3M,CALVIN KLEIN > Knotted Handle Solid Hand Bag,CALVIN KLEIN,"51% Post-Consumer Recycled Polyester, 49% Polyurethane",,Kids,https://cdn03.nnnow.com/web-images/large/styles/4WYS7BTEM3M/1717667108690/1.jpg,"['https://cdn03.nnnow.com/web-images/thumbnail/styles/4WYS7BTEM3M/1717667108690/1.jpg', 'https://cdn16.nnnow.com/web-images/thumbnail/styles/4WYS7BTEM3M/1717667108689/2.jpg', 'https://cdn17.nnnow.com/web-images/thumbnail/styles/4WYS7BTEM3M/1717667108689/3.jpg', 'https://cdn10.nnnow.com/web-images/thumbnail/styles/4WYS7BTEM3M/1717667108685/4.jpg', 'https://cdn04.nnnow.com/web-images/thumbnail/styles/4WYS7BTEM3M/1717667108686/5.jpg', 'https://cdn19.nnnow.com/web-images/thumbnail/styles/4WYS7BTEM3M/1717667108688/6.jpg', 'https://cdn01.nnnow.com/web-images/thumbnail/styles/4WYS7BTEM3M/1717667108687/7.jpg']",₹ 6999.00,₹ 4199.00,,Available sizes: One Size,,[]
4ab955f6bec53e93abf6bea6b5eaef18,Women Bayla Hand Bag,"PU, Wipe with a clean, dry cloth to remove dust, Top handles, Adjustable and detachable shoulder strap Metallic monogram accent at front, One main compartment with zipper closure, Two inner slip pocket, Solid pattern, One inner zip pocket, Dimensions: 28 x 11.5 x 39 (approx. in cms), Country Of Origin - China",https://www.nnnow.com/us-polo-assn-women-bayla-hand-bag-DONW1PEHBV7,U.S. POLO ASSN. WOMEN > Women Bayla Hand Bag,U.S. POLO ASSN. WOMEN,PU,,Adult,https://cdn12.nnnow.com/web-images/large/styles/DONW1PEHBV7/1758259881454/1.jpg,"['https://cdn12.nnnow.com/web-images/thumbnail/styles/DONW1PEHBV7/1758259881454/1.jpg', 'https://cdn06.nnnow.com/web-images/thumbnail/styles/DONW1PEHBV7/1758259881451/2.jpg', 'https://cdn07.nnnow.com/web-images/thumbnail/styles/DONW1PEHBV7/1758259881453/3.jpg', 'https://cdn09.nnnow.com/web-images/thumbnail/styles/DONW1PEHBV7/1758259881438/4.jpg', 'https://cdn11.nnnow.com/web-images/thumbnail/styles/DONW1PEHBV7/1758259881439/5.jpg', 'https://cdn15.nnnow.com/web-images/thumbnail/styles/DONW1PEHBV7/1758259881441/6.jpg', 'https://cdn05.nnnow.com/web-images/thumbnail/styles/DONW1PEHBV7/1758259881440/7.jpg']",,₹ 5999.00,,Available sizes: Onesize,,[]
8f05443067952009160b6a0443223853,Solid Brown Polyester Sling Bag,"100% Recycled Polyester, Wipe with cloth, Adjustable shoulder strap, Metallic logo accent at front, One main compartment with flap closure, One inner pocket with zipper closure, One inner slip pocket, Solid pattern, Country Of Origin - Cambodia",https://www.nnnow.com/tommy-hilfiger-solid-brown-polyester-sling-bag-WB55O575E11,TOMMY HILFIGER > Solid Brown Polyester Sling Bag,TOMMY HILFIGER,100% Recycled Polyester,,Kids,https://cdn05.nnnow.com/web-images/large/styles/WB55O575E11/1742975698933/1.jpg,"['https://cdn05.nnnow.com/web-images/thumbnail/styles/WB55O575E11/1742975698933/1.jpg', 'https://cdn16.nnnow.com/web-images/thumbnail/styles/WB55O575E11/1742975698931/2.jpg', 'https://cdn06.nnnow.com/web-images/thumbnail/styles/WB55O575E11/1742975698932/3.jpg', 'https://cdn15.nnnow.com/web-images/thumbnail/styles/WB55O575E11/1742975698930/4.jpg', 'https://cdn13.nnnow.com/web-images/thumbnail/styles/WB55O575E11/1742975698931/5.jpg']",₹ 4999.00,₹ 4499.00,,Available sizes: One Size,,[]
